Location,Year,R2,RMSE,AUC_Diff,Pearson
"45,IA",2014,0.9722863066353065,0.05497110159705832,0.0025912961511336866,0.9880093388121965
"45,IA",2015,0.8442222281163729,0.11077302303962429,0.27161382328822997,0.9661392938930524
"45,IA",2016,0.9675303653080941,0.05741707829655737,0.07464131139877722,0.9846736144519296
"45,IA",2017,0.94786190895274,0.06696308031867118,0.02195925487563581,0.9751006155134279
"45,IA",2018,0.9478427566604657,0.07358317863342367,0.11662043906762466,0.9775778167937184
"45,IA",2019,0.8855663795132558,0.10027973560159634,0.23661145181749832,0.9602181950157657
"45,IA",2020,0.7252217490940207,0.14473083978597243,-0.4873443310315416,0.979186889428523
"45,ID",2012,0.8646962061296444,0.10262178841146893,0.34760876616510633,0.9742661516620084
"45,ID",2013,0.6069177635724894,0.1689494842323551,0.5678140878676846,0.898812434512658
"45,ID",2014,0.6758852680861311,0.15757392013426486,0.5232906569544609,0.9724369889689108
"45,ID",2015,0.9060214081442683,0.08452019287875874,0.2927290981133516,0.9865501754400063
"45,ID",2016,0.9093817289151943,0.07203423106102169,0.1755875886655521,0.9809547068379841
"45,ID",2017,0.6801692172070957,0.16929696202583927,0.34092609741217417,0.8563595190738331
"45,ID",2018,0.8137749440328284,0.12190825811055916,0.4331354751033243,0.9735723915746645
"45,ID",2019,0.4302668027590819,0.20272166942406897,0.6278498506156751,0.8323556707105444
"45,ID",2020,0.3359351032294037,0.20132775389357913,0.6603652753665086,0.7606403801593169
"45,IL",2012,0.9828548204789562,0.03752501548214498,0.07928548946475254,0.9935790418307877
"45,IL",2013,0.8594635814462035,0.1261154648104885,0.0985717586682817,0.9331407072973152
"45,IL",2014,0.9558613047003769,0.06570084904331801,-0.08542554675720768,0.9789671692501687
"45,IL",2015,0.9760091348916977,0.04299587773360713,-0.06724746778708034,0.9902566896536769
"45,IL",2016,0.9855758848237576,0.03986537135320661,-0.016455032489214514,0.9943413894134996
"45,IL",2017,0.9042802177949054,0.09228892124773079,-0.15897954596088723,0.9640725820712885
"45,IL",2018,0.9669308182589811,0.054711824649188105,0.08353469142199348,0.9846024117414355
"45,IL",2019,0.8670134093573045,0.12505607577677524,-0.08873616018594044,0.9404483052960455
"45,IL",2020,0.8988584968903274,0.10083455339574926,-0.26576209314540106,0.9841602720580654
"45,IN",2012,0.95576534349698,0.06187787006564546,-0.009914066062147241,0.9782498487968088
"45,IN",2013,0.939312438411949,0.07087419154373889,0.06185951421633901,0.9701719750534166
"45,IN",2014,0.9589513246987051,0.06800385737650905,-0.14265941113764463,0.986720536804466
"45,IN",2015,0.970851900180914,0.04686966445152715,-0.12593944586813427,0.9924963329240745
"45,IN",2016,0.9730874088842052,0.05577384830942581,0.06984519084728563,0.9874237127084603
"45,IN",2017,0.8861586073676452,0.09772577761183161,-0.3193927804910473,0.9826680753142847
"45,IN",2018,0.94484005364214,0.0731987059381874,0.11382441553867594,0.9745419567302815
"45,IN",2019,0.9188364148427914,0.0880912396906268,-0.21496426139728247,0.9804002959775089
"45,IN",2020,0.8591701625775383,0.12243439271921042,-0.3026477716299148,0.9771518790511383
"45,KS",2012,0.9548367161118347,0.06344528103282984,0.0960479600523572,0.986113406710176
"45,KS",2013,0.9148385795176728,0.09734385298263326,-0.18789066959782674,0.9762632890110879
"45,KS",2014,0.9600131299541611,0.06802403963572017,0.0020533084765084674,0.9814062732067779
"45,KS",2015,0.890570048186958,0.09592674226581085,0.14456821491138538,0.9599200990688719
"45,KS",2016,0.9643982921845747,0.05602663118334024,0.05835791468743422,0.9831537594325215
"45,KS",2017,0.9500016278582464,0.07005950693272091,0.13693203504772777,0.9836074188501894
"45,KS",2018,0.9481254414945928,0.07262426589316277,0.06396632801438448,0.9746902900971887
"45,KS",2019,0.9410754572909202,0.08139345135756537,0.12558520920263416,0.9763925706913705
"45,KS",2020,0.9664983178334371,0.056632533884418246,-0.12175808228035018,0.9914048445582108
"45,KY",2012,0.9735579196581305,0.049699882082886275,0.039427879850318905,0.9870067776907878
"45,KY",2013,0.9630290281674726,0.060665286717135544,-0.05809765134400999,0.9836413137592931
"45,KY",2014,0.9332281350558094,0.09162889069902921,-0.18534283422472514,0.9929738921022482
"45,KY",2015,0.9700857519613972,0.052921670800176755,-0.023182419093700786,0.9856389912712842
"45,KY",2016,0.9588142697507628,0.06220991194898245,-0.11423402765054232,0.9928917930519128
"45,KY",2017,0.7458595775337622,0.14371453629609862,-0.5088680310229322,0.9789494677739837
"45,KY",2018,0.9737144149421527,0.05073705916040995,-0.05706856683106401,0.9926138000237185
"45,KY",2019,0.9240557488724427,0.07669287231893872,-0.16233120437918888,0.9737775971575762
"45,KY",2020,0.8939861906740707,0.10783788228279108,-0.29711743741425833,0.984694322577681
"45,LA",2012,0.9827131560915373,0.041081923270146,0.0590257756231264,0.9944030767898573
"45,LA",2013,0.9741033196791609,0.05124907737570388,0.052906050347002506,0.9892533484923092
"45,LA",2014,0.9822102336945224,0.04790533648250547,-0.04408066685167795,0.9921952431217153
"45,LA",2015,0.9876800267389544,0.03742274075239021,0.02236458659926259,0.9940658910787685
"45,LA",2016,0.9417268719892319,0.07504537731948596,0.08347209371416585,0.972960346403492
"45,LA",2017,0.966527868741079,0.05326717042630681,0.10673616037456858,0.9949512424072561
"45,LA",2018,0.9771125749032052,0.05292618361907511,-0.09734564003104026,0.9980186947449182
"45,LA",2019,0.9591818112636463,0.06899622234442986,0.07498696375989816,0.9846484807732427
"45,LA",2020,0.9846975819275758,0.039985889228677386,-0.043528644625118795,0.9933817123115297
"45,MA",2012,0.960195176459385,0.05365430751495589,0.15967344294104324,0.9906287093043227
"45,MA",2013,0.9203240026069516,0.07822274886707942,-0.10373303874433433,0.9635796965277624
"45,MA",2014,0.9155475376502137,0.10112551522797611,0.24543805155747245,0.9792532142357117
"45,MA",2015,0.9586714053913103,0.06072106626599882,-0.0030085833400399094,0.9870968209548535
"45,MA",2016,0.8863850760493507,0.10846105026671847,0.2741044130801125,0.974640830803913
"45,MA",2017,0.8210938859033654,0.12277244944380829,0.38757971203168057,0.9807240582986848
"45,MA",2018,0.8750308119922864,0.11755934528738274,0.2851696212059113,0.9783600646875387
"45,MA",2019,0.8083168945024024,0.1406023024311506,0.01156287940028364,0.9067976678563141
"45,MA",2020,0.7596679747138404,0.14348523423518217,-0.46316294838488303,0.9894856314205849
"45,MD",2012,0.9769438297608027,0.04278236708544702,-0.09164790959726637,0.9936940726401735
"45,MD",2013,0.9534700021044304,0.07430998294328536,-0.0004538337928442182,0.9768280981100388
"45,MD",2014,0.9664962450883684,0.058526884975778945,-0.10218676615616128,0.9955123794317334
"45,MD",2015,0.963096595125487,0.06419159851586993,-0.029752046656202534,0.9862427516426414
"45,MD",2016,0.9652210933999629,0.0555038136652722,-0.08953835241707832,0.9933779372795197
"45,MD",2017,0.9449878570671733,0.07604865551199654,0.1130599769323154,0.9765193728266537
"45,MD",2018,0.9848734557961901,0.04061457228663524,-0.050493733671189485,0.9947643193104176
"45,MD",2019,0.9748383611411773,0.048924028722592626,0.09146270882187914,0.9895818835535989
"45,MD",2020,0.9730487221482529,0.056158454762647345,-0.004769814379002305,0.9864723670061488
"45,ME",2012,0.9128895763015754,0.07518946881511471,0.29149557026050005,0.974713618278217
"45,ME",2013,0.7279144982056678,0.14936002638930054,0.23886459695800238,0.8625240048992697
"45,ME",2014,0.8016405869368342,0.1311380521425707,0.41936276788409177,0.9596958049474684
"45,ME",2015,0.9410437904238405,0.06883209813697869,0.2188701802185073,0.9818722532318579
"45,ME",2016,0.6732002007583984,0.1709287642855219,0.43210971962121336,0.8910220199257721
"45,ME",2017,0.5093957834088539,0.18279287822664733,0.6336627532482354,0.8856773422729277
"45,ME",2018,0.835186674086092,0.12075311476727459,0.30334208285171566,0.9492316669860872
"45,ME",2019,0.6474506980986157,0.18697280607086464,0.40481689917129765,0.8439244588548612
"45,ME",2020,0.8832361940253243,0.10041013391111848,-0.24271452086901465,0.976306598967762
"45,MI",2012,0.9618702333546953,0.05106782392163064,-0.10375012758617315,0.9911025964713469
